who,text
訪問者,大家好，今天我們剛完成了一堂工程設計課程，想請你們分享一下這次的學習經驗。首先，你們對這堂課的整體感受如何？
學生 A,我覺得很有趣，因為我們不是單純在課堂上聽老師講理論，而是有機會自己動手做。我們要解決一個問題，然後設計、製作並測試自己的解決方案，這讓我覺得更有挑戰性。
學生 B,對，而且這堂課很有成就感！因為我們最後做出來的東西真的能運作，這種親手完成一個設計的感覺，跟寫作業或考試很不一樣。
學生 C,不過也有點壓力，因為有時間限制，要在短時間內完成設計和製作，還要解決突發問題。但這也是一種訓練，讓我們學會如何在有限的條件下完成任務。
訪問者,很好，那你們能不能分享一下你們小組設計的專案，以及你們遇到的挑戰？
學生 A,我們的題目是設計一個橋樑模型，要求它能承受一定重量。我們一開始設計了一種懸臂橋的結構，但後來發現這種設計對我們手上的材料來說不太適合，所以我們改用了三角形支撐結構，結果強度提升了很多。
學生 B,最大的挑戰應該是材料的選擇吧！我們的材料只有木棒和紙板，本來以為木棒很堅固，但當我們開始組裝時，發現某些連接處太脆弱，必須想辦法加強固定，最後我們用了膠水和橡皮筋來增加穩固度。
學生 C,還有計算問題！我們原本設計的橋長度是 30 公分，但測試時發現跨度太長，中間會下陷，所以我們縮短了橋長，並增加了更多的支撐點，這樣才能承受更大的重量。
訪問者,聽起來你們在過程中做了很多調整，這就是工程設計中很重要的一部分！你們覺得在這個過程中，哪個環節最具挑戰性？
學生 A,我覺得是「修正」的部分。一開始我們很有信心自己的設計能成功，但測試後發現並沒有那麼理想，當下真的有點挫折。不過老師告訴我們，工程設計本來就是一個不斷測試、修改的過程，這讓我有不同的體悟。
學生 B,對，我們本來以為設計圖畫好、照著做就會成功，但現實跟理論真的有差距。像我們第一次測試時，橋直接垮掉，然後才發現是連接點的結構不夠強，所以我們花了很多時間在改進細節。
學生 C,還有時間管理也是一個挑戰。我們一直想把設計做到最好，但時間有限，不可能一直修改，所以最後要學會取捨，找到一個平衡點。
訪問者,這堂課是以小組合作的方式進行，你們覺得團隊合作在工程設計中扮演了什麼角色？
學生 A,我覺得團隊合作超重要，因為每個人有不同的專長。我們小組裡有人擅長畫設計圖，有人動手能力強，有人比較會計算數據，大家分工合作才能讓專案順利完成。
學生 B,而且合作也讓我們學到如何溝通。我們一開始有不同的想法，有些人想做拱橋，有些人想做懸臂橋，最後我們討論後，選了一個大家都覺得可行的設計，這種協調的過程對未來應該也很有幫助。
學生 C,但也有爭執的時候啦，像是我們在決定要不要重新設計時，有人覺得應該直接測試，有人覺得應該再修改，最後我們透過討論，決定先測試一次再做調整，這樣比較有效率。
訪問者,經過這堂課，你們對工程設計有什麼新的理解或收穫嗎？
學生 A,以前我以為工程設計就是畫設計圖、組裝、測試，但現在發現這是一個反覆試驗的過程，不是一次就能成功的，需要很多嘗試和改進。
學生 B,還有「失敗是必然的」，我們一開始覺得模型做出來一定會成功，但結果並沒有，這讓我們學會怎麼面對失敗，並且從錯誤中學習。
學生 C,我也覺得這堂課讓我們學到「解決問題」的能力。我們遇到材料限制、時間壓力、結構設計不穩定等問題，但我們透過討論和修改，最終還是找到了解決方案。這應該也是工程師的核心能力吧！
訪問者,很棒的觀察！那你們覺得這些技能未來可以應用在哪些地方？
學生 A,我覺得可以應用在生活中，像是家裡的家具壞了，可能就可以用工程設計的方式去思考如何修補或改造。
學生 B,對，還有解決問題的能力，不管是未來讀大學或進入職場，應該都會遇到需要分析問題、找出最佳解決方案的情況。
學生 C,還有團隊合作，這堂課讓我學到如何在團隊中溝通、協調意見，這在未來的職場上應該也很重要。
訪問者,最後，如果未來還有類似的課程，你們會希望有哪些改進或不同的設計？
學生 A,我希望可以有更多種類的材料，這樣我們可以測試不同的結構，不會受限於現有的材料。
學生 B,或許可以讓我們自己選擇設計題目，這樣可以做出更多創新的作品，而不只是按照指定的主題來做。
學生 C,我覺得可以加入一些真實案例的討論，像是看看實際橋樑的設計，然後分析它的優缺點，這樣會讓學習更有連結感。
訪問者,這些都是很棒的建議！感謝你們今天的分享，希望這次的學習經驗對你們有所幫助。
訪談結束,
